key,Order,Level,Section,Subsection,Criteria,Role model Rating,Weights,Description
Junior DeveloperSOFT SKILLSInitiative,48,Junior Developer,SOFT SKILLS,Initiative,,1.9,20%,"The ability to use your judgment to make decisions and do things without needing to be told what to do.
Doesn't wait to be asked. Open minded about their own skillset."
Junior DeveloperSOFT SKILLSInitiativeCan-do attitude,49,Junior Developer,SOFT SKILLS,Initiative,Can-do attitude,2.0,60%,You repeatedly demonstrate a positive attitude when given new projects.
Junior DeveloperSOFT SKILLSInitiativePro-activity in seeking help,50,Junior Developer,SOFT SKILLS,Initiative,Pro-activity in seeking help,2.0,25%,"If you're stuck on something, you seek help quickly from the correct party."
Junior DeveloperSOFT SKILLSInitiativeFollow through,51,Junior Developer,SOFT SKILLS,Initiative,Follow through,1.0,15%,You've taken on a small piece of work with ill-defined or unknown requirements and helped to push through to a successful outcome.
Junior DeveloperSOFT SKILLSObjectivity & Adaptability,52,Junior Developer,SOFT SKILLS,Objectivity & Adaptability,,1.5,8%,"The ability to deal with problems based on conditions that really exist, rather than following fixed theories, ideas, or rules, and to adapt to suit different conditions.
Able to be objective in evaluating their own work and comfortable and accepting of new contexts and roles."
Junior DeveloperSOFT SKILLSObjectivity & AdaptabilityEfficient decision-making,53,Junior Developer,SOFT SKILLS,Objectivity & Adaptability,Efficient decision-making,1.0,50%,You regularly make decisions regarding the direction of your own work in a timely manner.
Junior DeveloperSOFT SKILLSObjectivity & AdaptabilitySelf improvement,54,Junior Developer,SOFT SKILLS,Objectivity & Adaptability,Self improvement,2.5,30%,"You can name three activities which give you energy, and three which drain you."
Junior DeveloperSOFT SKILLSObjectivity & AdaptabilityObjectivity,55,Junior Developer,SOFT SKILLS,Objectivity & Adaptability,Objectivity,1.5,15%,You allow your plan to be changed by new information.
Junior DeveloperSOFT SKILLSObjectivity & AdaptabilityTime management,56,Junior Developer,SOFT SKILLS,Objectivity & Adaptability,Time management,1.4,5%,You look to reduce or change the scope of your work to meet a timeline or criteria not set by you.
Junior DeveloperSOFT SKILLSBusiness Acumen,57,Junior Developer,SOFT SKILLS,Business Acumen,,1.0,2%,
Junior DeveloperSOFT SKILLSBusiness AcumenUnderstanding level,58,Junior Developer,SOFT SKILLS,Business Acumen,Understanding level,1.0,100%,Has a basic understanding of their team's domain and related marketplace.
Junior DeveloperLEADERSHIP,59,Junior Developer,LEADERSHIP,,,0.5,5%,
Junior DeveloperLEADERSHIPHiring and Org Design,60,Junior Developer,LEADERSHIP,Hiring and Org Design,,0.0,20%,"The ability to understand the needs of the business and ensure that your team can meet them.
A competent interviewer. Able to follow a structured hiring process, and make a decision."
Junior DeveloperLEADERSHIPHiring and Org DesignDeploying Teams,61,Junior Developer,LEADERSHIP,Hiring and Org Design,Deploying Teams,0.0,40%,N/A
Junior DeveloperLEADERSHIPHiring and Org DesignEmployer Brand,62,Junior Developer,LEADERSHIP,Hiring and Org Design,Employer Brand,0.0,40%,N/A
Junior DeveloperLEADERSHIPHiring and Org DesignHiring,63,Junior Developer,LEADERSHIP,Hiring and Org Design,Hiring,0.0,20%,N/A
Junior DeveloperLEADERSHIPStakeholder Management,64,Junior Developer,LEADERSHIP,Stakeholder Management,,0.7,30%,"The ability to ensure that teams are protected and expectations are set correctly.
Is able to keep tangential teams informed and expectations managed around everyday work updates.
Uses judgement about others' reaction when disclosing information and opinions."
Junior DeveloperLEADERSHIPStakeholder ManagementManaging Goals and Expectations,65,Junior Developer,LEADERSHIP,Stakeholder Management,Managing Goals and Expectations,0.5,40%,"You lead on successful projects with external clients, internal stakeholders or partners with a successful outcome, ensuring goals are understood throughout."
Junior DeveloperLEADERSHIPStakeholder ManagementForesight,66,Junior Developer,LEADERSHIP,Stakeholder Management,Foresight,0.8,30%,"You work to inform departments, stakeholders or clients of an issue they face without being asked or expected to do so."
Junior DeveloperLEADERSHIPStakeholder ManagementEngendering Trust,67,Junior Developer,LEADERSHIP,Stakeholder Management,Engendering Trust,1.2,20%,You bring stakeholders or clients into a process in a way that makes best use of their time and their strengths.
Junior DeveloperLEADERSHIPStakeholder ManagementProtecting the Team,68,Junior Developer,LEADERSHIP,Stakeholder Management,Protecting the Team,0.5,10%,You manage a client or stakeholder relationship for a project.
Junior DeveloperLEADERSHIPTeam Leadership,69,Junior Developer,LEADERSHIP,Team Leadership,,0.9,20%,"The ability to maintain quality, efficiency and establish trust in your ability."
Junior DeveloperLEADERSHIPTeam LeadershipPutting the Team first,70,Junior Developer,LEADERSHIP,Team Leadership,Putting the Team first,1.0,50%,N/A
Junior DeveloperLEADERSHIPTeam LeadershipDifficult Conversations,71,Junior Developer,LEADERSHIP,Team Leadership,Difficult Conversations,0.0,20%,N/A
Junior DeveloperLEADERSHIPTeam LeadershipReliability,72,Junior Developer,LEADERSHIP,Team Leadership,Reliability,1.0,20%,N/A
Junior DeveloperLEADERSHIPTeam LeadershipVulnerability,73,Junior Developer,LEADERSHIP,Team Leadership,Vulnerability,1.5,10%,N/A
Junior DeveloperLEADERSHIPDeveloping Others,74,Junior Developer,LEADERSHIP,Developing Others,,0.2,20%,The ability to develop the skillsets and abilities of your team.
Junior DeveloperLEADERSHIPDeveloping OthersIdentifying strengths,75,Junior Developer,LEADERSHIP,Developing Others,Identifying strengths,0.0,30%,N/A
Junior DeveloperLEADERSHIPDeveloping OthersSupporting team growth,76,Junior Developer,LEADERSHIP,Developing Others,Supporting team growth,0.0,40%,N/A
Junior DeveloperLEADERSHIPDeveloping OthersInvesting in process,77,Junior Developer,LEADERSHIP,Developing Others,Investing in process,0.5,20%,N/A
Junior DeveloperLEADERSHIPDeveloping OthersFeedback on work,78,Junior Developer,LEADERSHIP,Developing Others,Feedback on work,0.5,10%,N/A
Junior DeveloperLEADERSHIPCulture & Togetherness,79,Junior Developer,LEADERSHIP,Culture & Togetherness,,1.1,10%,"The ability to bring groups together and foster a happy and productive environment.
Actively signals according to behaviour they want to see.
Keeps a cool head around others even in stressful situations.
Is involved in the planning and organising of team activities."
Junior DeveloperLEADERSHIPCulture & TogethernessSetting an Example,80,Junior Developer,LEADERSHIP,Culture & Togetherness,Setting an Example,1.5,50%,"You state your expectations of how your team should work and act, then demonstrate those expectations yourself.
You ask for feedback on your signalling and make a changes where appropriate."
Junior DeveloperLEADERSHIPCulture & TogethernessEncouraging diverse opinions,81,Junior Developer,LEADERSHIP,Culture & Togetherness,Encouraging diverse opinions,0.5,30%,"You help to organise and activate efforts towards a fairer, more diverse and safer workplace."
Junior DeveloperLEADERSHIPCulture & TogethernessDeveloping personal relationships,82,Junior Developer,LEADERSHIP,Culture & Togetherness,Developing personal relationships,1.0,20%,You invest in the relationships you are fostering with your team. You respect the sanctity of pastoral care and 1:1 time. You don't cancel and are never late.
Confirmed DeveloperENGINEERING CRAFT,0,Confirmed Developer,ENGINEERING CRAFT,,,2.0,65%,
Confirmed DeveloperENGINEERING CRAFTWriting Code,1,Confirmed Developer,ENGINEERING CRAFT,Writing Code,,1.9,40%,"The ability to contribute high quality code to production environments.
Is able to consistently write production-ready code across large, complex projects."
Confirmed DeveloperENGINEERING CRAFTWriting CodeQuality,2,Confirmed Developer,ENGINEERING CRAFT,Writing Code,Quality,2.0,45%,"You're regularly trusted to lead complex and business-critical coding projects, including guiding others."
Confirmed DeveloperENGINEERING CRAFTWriting CodeDocumentation,3,Confirmed Developer,ENGINEERING CRAFT,Writing Code,Documentation,1.8,25%,"Your code is consistently self-documenting where possible. You've regularly maintained, improved and extended existing documentation unprompted."
Confirmed DeveloperENGINEERING CRAFTWriting CodeLanguage,4,Confirmed Developer,ENGINEERING CRAFT,Writing Code,Language,2.2,25%,You're committing quality code in any language your team needs OR you're best in class at one language.
Confirmed DeveloperENGINEERING CRAFTWriting CodeMentoring,5,Confirmed Developer,ENGINEERING CRAFT,Writing Code,Mentoring,0.5,5%,You have mentored several junior engineers around code quality.
Confirmed DeveloperENGINEERING CRAFTTesting,6,Confirmed Developer,ENGINEERING CRAFT,Testing,,2.5,15%,"The ability to understand and implement great testing practices.
Understands the importance of a testing strategy, with growing levels of autonomy."
Confirmed DeveloperENGINEERING CRAFTTestingTesting your code,7,Confirmed Developer,ENGINEERING CRAFT,Testing,Testing your code,2.8,60%,You usually write detailed unit and functional tests covering edge cases as well as happy paths.
Confirmed DeveloperENGINEERING CRAFTTestingImproving coverage,8,Confirmed Developer,ENGINEERING CRAFT,Testing,Improving coverage,2.0,25%,You've improved test coverage in adjacent areas of code to your own without being asked.
Confirmed DeveloperENGINEERING CRAFTTestingTaking responsibility,9,Confirmed Developer,ENGINEERING CRAFT,Testing,Taking responsibility,1.8,15%,You've ensured that code committed by your immediate team is well tested and passing
Confirmed DeveloperENGINEERING CRAFTTestingLeading testing strategy,10,Confirmed Developer,ENGINEERING CRAFT,Testing,Leading testing strategy,0.0,0%,N/A
Confirmed DeveloperENGINEERING CRAFTTestingAdvocating for testing,11,Confirmed Developer,ENGINEERING CRAFT,Testing,Advocating for testing,0.0,0%,N/A
Confirmed DeveloperENGINEERING CRAFTTechnical Understanding & Prioritisation,12,Confirmed Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,,2.1,15%,"The ability to develop technical understanding and use this to prioritise tasks appropriately.
Is able to display a clear technical confidence and understanding, prioritises tasks and acts accordingly."
Confirmed DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationUnderstanding code,13,Confirmed Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Understanding code,2.2,55%,"You understand a good amount of the team's domain, and can gain sufficient context to work productively within that."
Confirmed DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTechnical collaboration,14,Confirmed Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Technical collaboration,2.0,25%,You can lead technical explanations when appropriate. You know when to listen and give space to team members.
Confirmed DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationWork breakdown,15,Confirmed Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Work breakdown,1.8,15%,"In advance of starting, you ensure that tasks are appropriately sized for incremental delivery and continuous integration, with some help from team members and your manager."
Confirmed DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTask prioritisation,16,Confirmed Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Task prioritisation,1.8,5%,You act according to task prioritisation whilst noting task dependencies.
Confirmed DeveloperENGINEERING CRAFTSoftware Architecture,17,Confirmed Developer,ENGINEERING CRAFT,Software Architecture,,1.5,12%,"The ability to interact and engage with architectural approaches of the organization.
Has a good understanding of, and designs functions that are aligned with, the overall service architecture."
Confirmed DeveloperENGINEERING CRAFTSoftware ArchitectureReaction to feedback,18,Confirmed Developer,ENGINEERING CRAFT,Software Architecture,Reaction to feedback,2.5,25%,N/A
Confirmed DeveloperENGINEERING CRAFTSoftware ArchitectureCode,19,Confirmed Developer,ENGINEERING CRAFT,Software Architecture,Code,1.8,25%,N/A
Confirmed DeveloperENGINEERING CRAFTSoftware ArchitectureDesign,20,Confirmed Developer,ENGINEERING CRAFT,Software Architecture,Design,0.5,25%,You show a good intuition for code interface design.
Confirmed DeveloperENGINEERING CRAFTSoftware ArchitectureDevelopment,21,Confirmed Developer,ENGINEERING CRAFT,Software Architecture,Development,1.0,25%,You consistently look for opportunities to learn from other projects and teams.
Confirmed DeveloperENGINEERING CRAFTSoftware ArchitectureTechnical debt,22,Confirmed Developer,ENGINEERING CRAFT,Software Architecture,Technical debt,1.3,0%,You consistently recognize technical debt and look for opportunities to negotiate and pay it down incrementally.
Confirmed DeveloperENGINEERING CRAFTSecurity,23,Confirmed Developer,ENGINEERING CRAFT,Security,,2.0,10%,"The ability to understand and apply security principles, handle user data appropriately and report security concerns.
Is able to understand the importance of security and starts to see work through a security lens."
Confirmed DeveloperENGINEERING CRAFTSecurityKnowledge,24,Confirmed Developer,ENGINEERING CRAFT,Security,Knowledge,2.0,35%,"You understand general security principles and apply them to your daily work.
You ask more senior engineers for help on making decisions that may have security implications."
Confirmed DeveloperENGINEERING CRAFTSecurityUser data,25,Confirmed Developer,ENGINEERING CRAFT,Security,User data,2.3,35%,You understand the importance of handling user data and does so responsibly without exception.
Confirmed DeveloperENGINEERING CRAFTSecurityReporting,26,Confirmed Developer,ENGINEERING CRAFT,Security,Reporting,1.8,20%,You immediately reports security concerns to manager or security teams.
Confirmed DeveloperENGINEERING CRAFTSecurityProactivity,27,Confirmed Developer,ENGINEERING CRAFT,Security,Proactivity,1.3,10%,N/A
Confirmed DeveloperENGINEERING CRAFTSecurityCollaboration,28,Confirmed Developer,ENGINEERING CRAFT,Security,Collaboration,1.6,0%,N/A
Confirmed DeveloperENGINEERING CRAFTSecurityStrategy,29,Confirmed Developer,ENGINEERING CRAFT,Security,Strategy,0.5,0%,N/A
Confirmed DeveloperENGINEERING CRAFTDebugging & Monitoring,30,Confirmed Developer,ENGINEERING CRAFT,Debugging & Monitoring,,1.8,8%,"The ability to understand and implement systematic debugging and monitoring practices to diagnose issues.
Understands debugging basics, the appropriate tools to use and is beginning to implement good monitoring practices."
Confirmed DeveloperENGINEERING CRAFTDebugging & MonitoringDebugging,31,Confirmed Developer,ENGINEERING CRAFT,Debugging & Monitoring,Debugging,2.0,55%,You can do multi application and multi layer profiling without support and optimize almost all bugs.
Confirmed DeveloperENGINEERING CRAFTDebugging & MonitoringTools,32,Confirmed Developer,ENGINEERING CRAFT,Debugging & Monitoring,Tools,1.8,25%,"You customize out of the box tools, and on occasion create small custom tools to instrument and monitor systems."
Confirmed DeveloperENGINEERING CRAFTDebugging & MonitoringPhilosophy,33,Confirmed Developer,ENGINEERING CRAFT,Debugging & Monitoring,Philosophy,1.3,15%,You understand the organization's monitoring philosophy. You help tune and change the monitoring philosophy on your team.
Confirmed DeveloperENGINEERING CRAFTDebugging & MonitoringData,34,Confirmed Developer,ENGINEERING CRAFT,Debugging & Monitoring,Data,1.6,5%,You understand the operational data for your team's domain.
Confirmed DeveloperENGINEERING CRAFTDebugging & MonitoringProfiling,35,Confirmed Developer,ENGINEERING CRAFT,Debugging & Monitoring,Profiling,1.3,0%,N/A
Confirmed DeveloperENGINEERING CRAFTDebugging & MonitoringMentoring,36,Confirmed Developer,ENGINEERING CRAFT,Debugging & Monitoring,Mentoring,0.0,0%,N/A
Confirmed DeveloperSOFT SKILLS,37,Confirmed Developer,SOFT SKILLS,,,1.7,30%,
Confirmed DeveloperSOFT SKILLSEmpathy & Humility,38,Confirmed Developer,SOFT SKILLS,Empathy & Humility,,1.5,40%,"The ability to share someone else's feelings or experiences by imagining what it would be like to be in that person's situation.
Constantly pushes for a better understanding of the needs and perspectives of those outside their own viewpoint."
Confirmed DeveloperSOFT SKILLSEmpathy & HumilityCredit and blame,39,Confirmed Developer,SOFT SKILLS,Empathy & Humility,Credit and blame,1.8,30%,"You actively look to ensure praise is shared fairly when given to you. If someone else is blamed for your mistake, you own up."
Confirmed DeveloperSOFT SKILLSEmpathy & HumilityUnderstanding others,40,Confirmed Developer,SOFT SKILLS,Empathy & Humility,Understanding others,2.1,30%,You regularly and actively ask others for their opinions with the goal of better understanding where they're coming from.
Confirmed DeveloperSOFT SKILLSEmpathy & HumilityMediation and facilitation,41,Confirmed Developer,SOFT SKILLS,Empathy & Humility,Mediation and facilitation,1.3,20%,"You have de-escalated disagreements amongst your peers, looking for common ground."
Confirmed DeveloperSOFT SKILLSEmpathy & HumilityMentoring,42,Confirmed Developer,SOFT SKILLS,Empathy & Humility,Mentoring,0.5,20%,You've proactively developed at least one informal mentoring relationship through your ability to understand a peer or subordinate.
Confirmed DeveloperSOFT SKILLSCommunication,43,Confirmed Developer,SOFT SKILLS,Communication,,1.6,25%,"The ability to communicate well with those around you with sensitivity to timeliness, medium, brevity and tone.
Communicates with wider team, feeds back on communication of others."
Confirmed DeveloperSOFT SKILLSCommunicationKeeping people informed,44,Confirmed Developer,SOFT SKILLS,Communication,Keeping people informed,1.6,50%,"You communicate work updates from your peers across your wider team, and respond to feedback in a timely manner."
Confirmed DeveloperSOFT SKILLSCommunicationLooking for feedback,45,Confirmed Developer,SOFT SKILLS,Communication,Looking for feedback,2.4,25%,"You consistently ask for critique on your thinking from a wider group, and inform the group which elements you're incorporating into your work."
Confirmed DeveloperSOFT SKILLSCommunicationDelivering bad news,46,Confirmed Developer,SOFT SKILLS,Communication,Delivering bad news,1.0,15%,You recognise when you need help from outside your immediate peers and asked for it effectively.
Confirmed DeveloperSOFT SKILLSCommunicationMentoring communicators,47,Confirmed Developer,SOFT SKILLS,Communication,Mentoring communicators,0.5,10%,You are able to unpick the communication of others around you and offer advice and feedback.
Confirmed DeveloperSOFT SKILLSInitiative,48,Confirmed Developer,SOFT SKILLS,Initiative,,2.2,20%,"The ability to use your judgment to make decisions and do things without needing to be told what to do.
You show a good intuition for code interface design."
Confirmed DeveloperSOFT SKILLSInitiativeCan-do attitude,49,Confirmed Developer,SOFT SKILLS,Initiative,Can-do attitude,2.4,55%,"You see opportunity in every piece of work, however outwardly mundane or solved."
Confirmed DeveloperSOFT SKILLSInitiativePro-activity in seeking help,50,Confirmed Developer,SOFT SKILLS,Initiative,Pro-activity in seeking help,2.2,25%,"When your team is stuck on something, you are quick to suggest that you all adjust focus, reframe a problem or talk to someone new."
Confirmed DeveloperSOFT SKILLSInitiativeFollow through,51,Confirmed Developer,SOFT SKILLS,Initiative,Follow through,1.4,20%,You lead medium to large projects with unknown requirements and helped drive to a successful outcome.
Confirmed DeveloperSOFT SKILLSObjectivity & Adaptability,52,Confirmed Developer,SOFT SKILLS,Objectivity & Adaptability,,2.2,10%,"The ability to deal with problems based on conditions that really exist, rather than following fixed theories, ideas, or rules, and to adapt to suit different conditions.
Is able to change their mind over strongly-held beliefs and pursue a new path with no loss of velocity."
Confirmed DeveloperSOFT SKILLSObjectivity & AdaptabilityEfficient decision-making,53,Confirmed Developer,SOFT SKILLS,Objectivity & Adaptability,Efficient decision-making,1.8,50%,"You help your immediate peers to make decisions based on what projects need, not what they feel most comfortable doing."
Confirmed DeveloperSOFT SKILLSObjectivity & AdaptabilitySelf improvement,54,Confirmed Developer,SOFT SKILLS,Objectivity & Adaptability,Self improvement,3.0,25%,You use your development areas to build improvement goals for yourself and see improvements over time.
Confirmed DeveloperSOFT SKILLSObjectivity & AdaptabilityObjectivity,55,Confirmed Developer,SOFT SKILLS,Objectivity & Adaptability,Objectivity,2.1,20%,"You look for new information, assuming that you don't know everything. You can point to examples when you had a strong opinion changed for the better."
